transferType,text,year,season,player,rowId,team,owner,transferTypeId
arrival," , (,, 0 €) - 27 June 2005",2005,1,Taylor,2,Arsenal,Aston Villa,1
arrival," , (,) - 01 June 2005",2005,1,Hughes,2,Newcastle,Aston Villa,1
arrival," , (,) - 01 Augu 2008",2008,1,Guzan,2,Chivas USA,Aston Villa,1
arrival," , (,, 2.5 M€) - 26 July 2008",2008,1,Friedel,2,Blackburn,Aston Villa,1
arrival," , (man., ,) - 14 Febr 2015",2014,1,Sherwood,2,,Aston Villa,1
arrival," , (man., ,) - 11 Febr 2015",2014,1,Marshall,2,Aston Villa,Aston Villa,1
arrival," , (,, B.L.) - 01 Febr 2015",2014,1,Steer,2,Yeovil,Aston Villa,1
arrival," , (,, L.) - 14 Janu 2014",2013,1,Holt,2,Wigan,Aston Villa,1
arrival," , (,, B.L.) - 27 Nove 2013",2013,1,Albrighton,2,Wigan,Aston Villa,1
arrival," , (,, B.L.) - 27 Sept 2013",2013,1,Stevens,2,Notts County,Aston Villa,1
departure," ,, L.) - 31 Janu 2012",2011,1,Miyaichi,1,Bolton,,2
departure," ,, L.) - 04 Janu 2012",2011,1,Mannone,1,Hull City,,2
departure," ,, L.) - 30 Sept 2011",2011,1,Almunia,1,West Ham,,2
arrival," , (,, 2.4 M€) - 30 Janu 2013",2012,1,Sylla,2,Clermont,Aston Villa,1
arrival," , (,, B.L.) - 03 Janu 2013",2012,1,Hutton,2,Nottingham,Aston Villa,1
arrival," , (,, L.) - 06 Janu 2011",2010,1,Walker,2,Tottenham,Aston Villa,1
arrival," , (,, B.L.) - 01 Janu 2011",2010,1,Forrester,2,Kilmarnock,Aston Villa,1
arrival," , (,, 0 €) - 18 Nove 2010",2010,1,Pirès,2,,Aston Villa,1
departure," ,, 3.5 M€) - 25 Janu 2010",2009,1,Gardner,2,Birmingham City,,2
departure," ,, L.) - 06 Nove 2009",2009,1,Osbourne,2,Middlesbrough,,2
departure," ,, L.) - 25 Sept 2009",2009,1,Harewood,2,Newcastle United,,2
arrival," , (,, 0 €) - 12 Sept 2006",2006,1,Agathe,2,,Aston Villa,1
arrival," , (,, 10.37 M€) - 30 Augu 2006",2006,1,Petrov,2,Celtic,Aston Villa,1
arrival," , (man., ,, 0 €) - 04 Augu 2006",2006,1,O'Neill,2,Celtic,Aston Villa,1
arrival," , (,, 5.18 M€) - 17 July 2007",2007,1,Harewood,2,West Ham,Aston Villa,1
arrival," , (,, 12.6 M€) - 05 July 2007",2007,1,Reo-Coker,2,West Ham,Aston Villa,1
arrival," , (,, 0 €) - 01 June 2005",2005,1,Berger,2,Portsmouth,Aston Villa,1
arrival," , (,, B.L.) - 09 May 2005",2005,1,Cahill,2,Burnley,Aston Villa,1
departure," ,, B.L.) - 17 Janu 2006",2005,1,Bakke,2,Leeds United,,2
arrival," , (,, 12 M€) - 03 July 2008",2008,1,Davies,2,WBA,Aston Villa,1
arrival," , (,, 7 M€) - 18 June 2008",2008,1,Sidwell,2,Chelsea,Aston Villa,1
arrival," , (,, B.L.) - 05 May 2008",2008,1,Moore,2,WBA,Aston Villa,1
arrival," , (,, 3.5 M€) - 30 Janu 2015",2014,1,Sinclair,2,Man City,Aston Villa,1
arrival," , (,, 4.5 M€) - 12 Janu 2015",2014,1,Gil,2,Valencia CF,Aston Villa,1
arrival," , (,, B.L.) - 03 Janu 2015",2014,1,Gardner,2,Brighton,Aston Villa,1
arrival," , (,, 7 M€) - 01 Sept 2013",2013,1,Kozak,2,Lazio,Aston Villa,1
arrival," , (,, 0 €) - 01 July 2013",2013,1,Steer,2,Norwich City B,Aston Villa,1
departure," ,, L.) - 31 Augu 2011",2011,1,Campbell,1,Lorient,,2
departure," ,, L.) - 31 Augu 2011",2011,1,Bendtner,1,Sunderland,,2
departure," ,, 1.35 M€) - 30 Augu 2011",2011,1,Traoré,1,Queens Park Rangers,,2
arrival," , (,, B.L.) - 23 Dece 2012",2012,1,Warnock,2,Bolton,Aston Villa,1
arrival," , (,, 8.8 M€) - 31 Augu 2012",2012,1,Benteke,2,RC Genk,Aston Villa,1
arrival," , (,, 2.5 M€) - 31 Augu 2012",2012,1,Westwood,2,Crewe,Aston Villa,1
arrival," , (man., ,, 0 €) - 09 Sept 2010",2010,1,Houllier,2,,Aston Villa,1
arrival," , (,) - 18 Augu 2010",2010,1,Ireland,2,Man City,Aston Villa,1
arrival," , (man., ,) - 09 Augu 2010",2010,1,MacDonald,2,,Aston Villa,1
departure," ,) - 01 July 2009",2009,1,Knight,2,,,2
departure," ,, 0 €) - 23 June 2009",2009,1,Taylor,2,Manchester City,,2
departure," ,, 19.7 M€) - 02 June 2009",2009,1,Barry,2,Manchester City,,2
arrival," , (man., ,) - 19 July 2006",2006,1,Aitken,2,Aston Villa,Aston Villa,1
arrival," , (,) - 01 July 2006",2006,1,Osbourne,2,,Aston Villa,1
arrival," , (,, 0 €) - 31 May 2007",2007,1,Djemba-Djemba,2,Burnley,Aston Villa,1
arrival," , (,, B.L.) - 07 May 2007",2007,1,Hendrie,2,Stoke City,Aston Villa,1
departure," ,, L.) - 22 Febr 2008",2007,1,Moore,2,West Bromwich Albion,,2
departure," ,, L.) - 14 Sept 2005",2005,1,Whittingham,2,Derby County,,2
departure," ,, 2.25 M€) - 31 Augu 2005",2005,1,Solano,2,Newcastle United,,2
departure," ,, L.) - 25 Augu 2005",2005,1,Berson,2,Auxerre,,2
departure," ,, L.) - 23 Marc 2009",2008,1,Harewood,2,Wolves,,2
departure," ,, L.) - 13 Marc 2009",2008,1,Taylor,2,Cardiff,,2
arrival," , (,, B.L.) - 29 Dece 2014",2014,1,Bent,2,Brighton,Aston Villa,1
arrival," , (,, L.) - 02 Sept 2014",2014,1,Cleverley,2,Man U,Aston Villa,1
arrival," , (,, 2 M€) - 01 July 2013",2013,1,Luna,2,Sevilla FC,Aston Villa,1
arrival," , (,, B.L.) - 30 June 2013",2013,1,Hutton,2,Mallorca,Aston Villa,1
arrival," , (,) - 18 June 2013",2013,1,Helenius,2,Aalborg,Aston Villa,1
departure," ,, 28 M€) - 24 Augu 2011",2011,1,Nasri,1,Manchester City,,2
departure," ,, L.) - 16 Augu 2011",2011,1,Vela,1,R. Sociedad,,2
arrival," , (,, 630 k€) - 30 Augu 2012",2012,1,Bowery,2,Chesterfield,Aston Villa,1
arrival," , (,, 3.15 M€) - 29 Augu 2012",2012,1,Bennett,2,Middlesbrough,Aston Villa,1
arrival," , (,, B.L.) - 01 July 2010",2010,1,Herd,2,Lincoln City,Aston Villa,1
arrival," , (,, B.L.) - 01 June 2010",2010,1,Lowry,2,Leeds United,Aston Villa,1
departure," ,, 0 €) - 15 May 2009",2009,1,Laursen,2,,,2
